KO,EC,Reaction,role,metabolite
K03388,1.8.7.3;1.8.98.4;1.8.98.5;1.8.98.6,R11931,substrate,C03576
K03388,1.8.7.3;1.8.98.4;1.8.98.5;1.8.98.6,R11931,substrate,C00139
K03388,1.8.7.3;1.8.98.4;1.8.98.5;1.8.98.6,R11931,product,C04832
K03388,1.8.7.3;1.8.98.4;1.8.98.5;1.8.98.6,R11931,product,C00138
K03388,1.8.7.3;1.8.98.4;1.8.98.5;1.8.98.6,R11931,product,C00080
K03388,1.8.7.3;1.8.98.4;1.8.98.5;1.8.98.6,R11943,substrate,C04628
K03388,1.8.7.3;1.8.98.4;1.8.98.5;1.8.98.6,R11943,substrate,C03576
K03388,1.8.7.3;1.8.98.4;1.8.98.5;1.8.98.6,R11943,substrate,C00138
K03388,1.8.7.3;1.8.98.4;1.8.98.5;1.8.98.6,R11943,substrate,C00080
K03388,1.8.7.3;1.8.98.4;1.8.98.5;1.8.98.6,R11943,product,C04832
K03388,1.8.7.3;1.8.98.4;1.8.98.5;1.8.98.6,R11943,product,C00139
K03388,1.8.7.3;1.8.98.4;1.8.98.5;1.8.98.6,R11943,product,C00282
K03388,1.8.7.3;1.8.98.4;1.8.98.5;1.8.98.6,R11944,substrate,C04628
K03388,1.8.7.3;1.8.98.4;1.8.98.5;1.8.98.6,R11944,substrate,C03576
K03388,1.8.7.3;1.8.98.4;1.8.98.5;1.8.98.6,R11944,substrate,C00138
K03388,1.8.7.3;1.8.98.4;1.8.98.5;1.8.98.6,R11944,substrate,C00011
K03388,1.8.7.3;1.8.98.4;1.8.98.5;1.8.98.6,R11944,substrate,C00080
K03388,1.8.7.3;1.8.98.4;1.8.98.5;1.8.98.6,R11944,product,C04832
K03388,1.8.7.3;1.8.98.4;1.8.98.5;1.8.98.6,R11944,product,C00139
K03388,1.8.7.3;1.8.98.4;1.8.98.5;1.8.98.6,R11944,product,C00058
K00615,2.2.1.1,R01067,substrate,C00085
K00615,2.2.1.1,R01067,substrate,C00118
K00615,2.2.1.1,R01067,product,C00279
K00615,2.2.1.1,R01067,product,C00231
K00615,2.2.1.1,R01641,substrate,C05382
K00615,2.2.1.1,R01641,substrate,C00118
K00615,2.2.1.1,R01641,product,C00117
K00615,2.2.1.1,R01641,product,C00231
K00615,2.2.1.1,R01830,substrate,C05345
K00615,2.2.1.1,R01830,substrate,C00118
K00615,2.2.1.1,R01830,product,C00279
K00615,2.2.1.1,R01830,product,C00231
K00615,2.2.1.1,R06590,substrate,C12214
K00615,2.2.1.1,R06590,substrate,C00117
K00615,2.2.1.1,R06590,product,C12215
K00615,2.2.1.1,R06590,product,C05382
K09472,1.2.1.99,R07417,substrate,C15700
K09472,1.2.1.99,R07417,substrate,C00003
K09472,1.2.1.99,R07417,substrate,C00001
K09472,1.2.1.99,R07417,product,C15767
K09472,1.2.1.99,R07417,product,C00004
K09472,1.2.1.99,R07417,product,C00080
K09472,1.2.1.99,R07418,substrate,C15700
K09472,1.2.1.99,R07418,substrate,C00006
K09472,1.2.1.99,R07418,substrate,C00001
K09472,1.2.1.99,R07418,product,C15767
K09472,1.2.1.99,R07418,product,C00005
K09472,1.2.1.99,R07418,product,C00080
K03495,,R08701,substrate,C17322
K03495,,R08701,substrate,C00037
K03495,,R08701,substrate,C03479
K03495,,R08701,substrate,C00030
K03495,,R08701,product,C17323
K03495,,R08701,product,C00101
K03495,,R08701,product,C00028
K03495,,R08701,product,C00001
K00479,1.14.13.251,R13016,substrate,C00719
K00479,1.14.13.251,R13016,substrate,C00004
K00479,1.14.13.251,R13016,substrate,C00080
K00479,1.14.13.251,R13016,substrate,C00007
K00479,1.14.13.251,R13016,product,C01026
K00479,1.14.13.251,R13016,product,C00003
K00479,1.14.13.251,R13016,product,C00067
K00479,1.14.13.251,R13016,product,C00001
K01928,6.3.2.13,R02788,substrate,C00002
K01928,6.3.2.13,R02788,substrate,C00692
K01928,6.3.2.13,R02788,substrate,C00680
K01928,6.3.2.13,R02788,product,C00008
K01928,6.3.2.13,R02788,product,C00009
K01928,6.3.2.13,R02788,product,C04877
K01649,2.3.3.13,R01213,substrate,C02504
K01649,2.3.3.13,R01213,substrate,C00010
K01649,2.3.3.13,R01213,product,C00024
K01649,2.3.3.13,R01213,product,C00141
K01649,2.3.3.13,R01213,product,C00001
K03621,2.3.1.274,R12240,substrate,C00173
K03621,2.3.1.274,R12240,substrate,C00009
K03621,2.3.1.274,R12240,product,C02133
K03621,2.3.1.274,R12240,product,C00229
K01179,3.2.1.4,R06200,substrate,G10481(n
K01179,3.2.1.4,R06200,substrate,)
K01179,3.2.1.4,R06200,substrate,C00001
K01179,3.2.1.4,R06200,product,G10481(n)
K01179,3.2.1.4,R06200,product,G00289
K01179,3.2.1.4,R11307,substrate,C00760
K01179,3.2.1.4,R11307,substrate,C00001
K01179,3.2.1.4,R11307,product,C00760
K01179,3.2.1.4,R11307,product,C01898
K01179,3.2.1.4,R11308,substrate,C01898
K01179,3.2.1.4,R11308,product,C00185
K01869,6.1.1.4,R03657,substrate,C00002
K01869,6.1.1.4,R03657,substrate,C00123
K01869,6.1.1.4,R03657,substrate,C01645
K01869,6.1.1.4,R03657,product,C00020
K01869,6.1.1.4,R03657,product,C00013
K01869,6.1.1.4,R03657,product,C02047
K01193,3.2.1.26,R00801,substrate,C00089
K01193,3.2.1.26,R00801,substrate,C00001
K01193,3.2.1.26,R00801,product,C00095
K01193,3.2.1.26,R00801,product,C00031
K01193,3.2.1.26,R00802,substrate,C00089
K01193,3.2.1.26,R00802,substrate,C00001
K01193,3.2.1.26,R00802,product,C02336
K01193,3.2.1.26,R00802,product,C00267
K01193,3.2.1.26,R02410,substrate,C00492
K01193,3.2.1.26,R02410,substrate,C00001
K01193,3.2.1.26,R02410,product,C05402
K01193,3.2.1.26,R02410,product,C00095
K01193,3.2.1.26,R03635,substrate,C01613
K01193,3.2.1.26,R03635,substrate,C00001
K01193,3.2.1.26,R03635,product,C05404
K01193,3.2.1.26,R03635,product,C00095
K01193,3.2.1.26,R03921,substrate,C16688
K01193,3.2.1.26,R03921,substrate,C00001
K01193,3.2.1.26,R03921,product,C00095
K01193,3.2.1.26,R03921,product,C00092
K01193,3.2.1.26,R06088,substrate,G00370
K01193,3.2.1.26,R06088,substrate,C00001
K01193,3.2.1.26,R06088,product,C02336
K01193,3.2.1.26,R06088,product,C00267
K00239,1.3.5.1,R02164,substrate,C15602
K00239,1.3.5.1,R02164,substrate,C00042
K00239,1.3.5.1,R02164,product,C15603
K00239,1.3.5.1,R02164,product,C00122
K00942,2.7.4.8,R00332,substrate,C00002
K00942,2.7.4.8,R00332,substrate,C00144
K00942,2.7.4.8,R00332,product,C00008
K00942,2.7.4.8,R00332,product,C00035
K00942,2.7.4.8,R02090,substrate,C00002
K00942,2.7.4.8,R02090,substrate,C00362
K00942,2.7.4.8,R02090,product,C00008
K00942,2.7.4.8,R02090,product,C00361
K00942,2.7.4.8,R12852,substrate,C22441
K00942,2.7.4.8,R12852,substrate,C00002
K00942,2.7.4.8,R12852,product,C22442
K00942,2.7.4.8,R12852,product,C00008
K02528,2.1.1.182,R10716,substrate,C00019
K02528,2.1.1.182,R10716,substrate,C20648
